,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
10,Lá Bài Chủ,Jeffery Deaver,NaN,Nxb Lao động,BachvietBooks,9786043605976,NaN,820.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,604
11,Nơi Khát Vọng Nảy Mầm,Thích Nữ Nhuận Bình,NaN,Nxb Lao động,Thái Hà,8935280912922,NaN,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,272
12,How The Mind Works: Trí Óc Vận Hành Như Thế Nào,Steven Pinker,NaN,Nxb Thế giới,Alpha books,8935251410884,NaN,1200.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,856
13,Khúc Ngẫu Hứng Trước Ga Mahoro,Miura Shion,NaN,NXB Dân Trí,Nhã Nam,8935235234192,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 1.1 cm,2022,464
14,Lại Thằng Nhóc Emil (Tái Bản 2022),Astrid Lindgren,Vũ Hương Giang,Nxb Hội Nhà Văn,Nhã Nam,8935235234482,-QĐ/NXB HNV,630.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,360
15,Ô Vẻ Đời,Phạm Phú Quảng,NaN,Nxb Hà Nội,Thái Hà,8935280912915,NaN,380.00 gam,Tiếng Việt,Bìa mềm,14 x 20.5 cm,2022,380
16,Phi Tinh Lương Phái Dễ Hiểu,Alex Alpha – Huyền Minh Group,NaN,Nxb Thế giới,Thái Hà,8935280912786,-QĐ/TG,500.00 gam,Tiếng Việt,Bìa mềm,15.5 x 24 cm,2022,500
17,Tạp Chí Pi: Tập 6 - Số 12 (Tháng 12/2022) (Tặng Kèm Bộ Lì Xì 'Hành Trình Ánh Sáng'),Nhiều tác giả,NaN,NaN,Tạp chí Pi,8938514372646,NaN,250.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm,2022,63
18,"Cẩm Nang Cho Thủ Lĩnh Bán Hàng - Gỡ Rối Quản Lý, Xử Trí Nhân Viên Khó Nhằn Và Tối Đa Doanh Số",Suzanne M Paling,NaN,NXB Dân Trí,Nhã Nam,8935235236226,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,367
19,Thế Giới Không Có Người Xấu,Whon Jaehun,NaN,NXB Dân Trí,AZ Việt Nam,8935325009662,NaN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,200
20,The Secret - Bí Mật (Tái Bản 2021),Rhonda Byrne,Nguyễn Phúc Quang Ngọc,Nxb Thế giới,Thiên Minh Book,9786047799077,NaN,550.00 gam,Tiếng Việt,Bìa mềm,17.5 x 13.5 x 1.7 cm,2021,201
21,Tâm Lý Học Vượt Nghịch Cảnh - Hạnh Phúc Tại Tâm,Tống Thủy Lan,NaN,NXB Hồng Đức,Mcbooks,8935246935583,NaN,520.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,308
22,Hiểu Mình Để Hiểu Con,Jennifer S Miller,NaN,Nxb Lao động,Thái Hà,8935280912748,NaN,550.00 gam,Tiếng Việt,Bìa mềm,23 x 15 cm,2022,300
23,Future Wise: Điều Gì Đáng Học Cho Tương Lai,David N Perkins,NaN,Nxb Lao động,Thái Hà,8935280912755,NaN,640.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,356
24,Dám Nghĩ Lại,Adam Grant,NaN,NXB Dân Trí,FIRST NEWS,8935086856499,NaN,550.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,336
25,Câu Chuyện Pháp Luật Và Hình Phạt Theo Dòng Thời Gian,"Jiří Linhart, Marcel Králik",NaN,Nxb Thế giới,Nhã Nam,8935235236233,NaN,700.00 gam,Tiếng Việt,Bìa mềm,28 x 21.5 cm,2022,58
26,Chuyện Đó Đâu Ai Ngờ,Jaesoo,NaN,NXB Dân Trí,AZ Việt Nam,8935325009402,NaN,550.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,332
27,S.E.O Ngon - Hiểu Đúng Làm Đúng,SEONGON,NaN,NXB Công Thương,Alpha books,8935251419658,NaN,450.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,264
28,Content Marketing Trong Kỷ Nguyên 4.0,Alexander Jutkowitz,Alexander Jutkowitz,Nxb Lao động,1980Books,8936066694032,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,336
29,Ăn Xanh Sống Lành,Ishihara Yumi,NaN,NXB Thanh Niên,1980Books,8936066691147,NaN,520.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,308
0,Lập Luận Sắc Bén Tranh Luận Thành Công,Madsen Pirie,NaN,Nxb Thế giới,Alpha books,8935251419566,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,300
1,Thuyết Minh Trực Quan Nhất Về Trái Đất,Alphabooks,NaN,NXB Dân Trí,Alpha books,8935251408065,NaN,700.00 gam,Tiếng Việt,Bìa cứng,30.1 x 25 cm,2022,528
2,Bộ Lịch Sử Nhân Loại: Biến Động,Jared Diamond,NaN,NXB Dân Trí,Alpha books,8935270703912,NaN,700.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,576
3,Cánh Cổng Sát Nhân,Higashino Keigo,NaN,Nxb Hà Nội,Nhã Nam,8935235236189,NaN,1050.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,526
4,Nhân Loại Đối Đầu Nhân Tạo,Nhiều tác giả,NaN,Nxb Thế giới,Saigon Books,8935278606680,NaN,500.00 gam,Tiếng Việt,Bìa mềm,23.5 x 15.5 cm,2022,NaN
5,"Suy Nghĩ Tích Cực, Hành Động Đúng Đắn, Tận Hưởng Thành Công",John Maxwell,NaN,NXB Công Thương,1980Books,8936066694117,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,338
6,Triết Lý Đầu Tư Của Warren Buffett,Glen Arnold,Khánh Huyền,NXB Công Thương,1980Books,8936066694179,NaN,600.00 gam,Tiếng Việt,Bìa mềm,23 x 16 cm,2022,392
7,Trí Tuệ Khắc Kỷ,Nancy Sherman,NaN,NXB Dân Trí,1980Books,8936066693318,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,360
8,Siêu Tâm Trí - Học Cách Suy Nghĩ Như Sherlock Holmes,Maria Konnikova,NaN,NXB Thanh Niên,AZ Việt Nam,8935325006913,NaN,520.00 gam,Tiếng Việt,Bìa mềm,24 x 15.7 cm,2022,312
9,"Lắng Nghe Chủ Động, Giao Tiếp Thông Minh, Ứng Xử Linh Hoạt","Fred Kendall, Anna Kendall",NaN,NXB ĐH Kinh tế Quốc dân,1980Books,8936066694780,NaN,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,288
10,Niềm Vui Và Nỗi Buồn Của Công Việc,Jang Ryu Jin,NaN,Nxb Trẻ,NXB Trẻ,8934974183099,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,292
11,100 Nhà Khoa Học Vĩ Đại Thay Đổi Thế Giới,Jon Balchin,NaN,NXB Dân Trí,Tân Việt,8935210306135,NaN,420.00 gam,Tiếng Việt,Bìa mềm,25.5 x 18 cm,2022,208
12,Xây Dựng Trường Học Hạnh Phúc - Con Đường Tôi Đi,Nhà giáo TS Nguyễn Văn Hòa,NaN,NXB Dân Trí,Alpha books,8935309503148,NaN,500.00 gam,Tiếng Việt,Bìa mềm,23 x 15 cm,2022,320
13,Tiếng Nhật Chuyên Ngành Điều Dưỡng Dành Cho Người Mới Bắt Đầu - Kiến Thức Cơ Bản,"Mitsuhashi Asako, Maruyama Makiko",NaN,Nxb Trẻ,NXB Trẻ,8934974182849,NaN,400.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,2022,164
14,Vegan Journey - Món Tây Gia Vị Việt,Shushu Le,NaN,NXB Phụ Nữ,AZ Việt Nam,8935325009426,NaN,400.00 gam,Tiếng Việt,Bìa cứng,24 x 17 cm,2022,184
15,Hồi Ức Không Tên (Unnamed Memory) - Bản Đặc Biệt - Tập 1,NaN,NaN,Nxb Hà Nội,Thái Hà,8935280912564,-QĐ/HN,500.00 gam,Tiếng Việt,Bìa mềm,13 x 19 cm,2022,464
16,Suy Nghĩ Độc Hại,Anne Bogel,NaN,NXB Thanh Niên,1980Books,8936066694599,NaN,520.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,304
17,Chiến Tranh Tiền Tệ - Phần V (Phần Cuối),Song Hong Bing,NaN,Nxb Lao động,BachvietBooks,9786043606492,NaN,900.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,648
18,Lịch Sử Việt Nam Bằng Tranh: Lý Thánh Tông Và Nước Đại Việt (Bản Màu),Nhiều tác giả,NaN,Nxb Trẻ,NXB Trẻ,8934974182528,NaN,400.00 gam,Tiếng Việt,Bìa mềm,24 x 19 cm,2022,80
19,Charlie Munger - Phương Pháp Đầu Tư Giá Trị,Tren Griffin,Từ Uyển Linh,Nxb Lao động,1980Books,8936066694100,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,320
20,Box Set Baby’S First Word And Picture Dictionary - Từ Điển Song Ngữ Qua Tranh Cho Bé (6 Cuốn),The Kiwi,Hồng Đức,NXB Hồng Đức,Mcbooks,8935246936115,-QĐ/HĐ,480.00 gam,Tiếng Việt,Bìa mềm,13.5 x 11.7 x 4.7 cm,2022,Bộ Hộp
21,Wabi-Sabi - Thương Những Điều Không Hoàn Hảo (Tái Bản 2022),Beth Kempton,NaN,NXB Công Thương,Thái Hà,8935280911314,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20 x 14 cm,2022,299
22,Nhập Môn Triết Học Qua 101 Câu Đố Kinh Điển,Martin Cohen,NaN,NaN,AZ Việt Nam,8935325008719,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,392
23,Câu Chuyện Nơ Hồng,"Nguyễn Thị Xuyên, Trần Thị Thanh Hương, Nguyễn Bá Tĩnh",NaN,NXB Công Thương,Thái Hà,8935280912502,-QĐ/CT,250.00 gam,"Tiếng Anh, Tiếng Việt",Bìa mềm,21 x 21 cm,2022,136
24,Hãy Hỏi Trái Tim Mình,Park Nam Hee,Vương Thúy Quỳnh Anh,NXB Công Thương,Thái Hà,8935280912540,-QĐ/CT,200.00 gam,Tiếng Việt,Bìa mềm,14 x 20 cm,2022,184
25,Thuật Ngữ Tử Vi Dễ Hiểu,Alex Alpha,NaN,Nxb Thế giới,Thái Hà,8935280912403,-QĐ/TG,350.00 gam,Tiếng Việt,Bìa mềm,15.5 x 24 cm,2022,292
26,Làm Mát Trái Đất,"Isabel Thomas, Alex Paterson",NaN,NXB Dân Trí,Nhã Nam,8935235236073,NaN,190.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,190
27,Escalante - Người Thầy Xuất Sắc Nhất Nước Mỹ,Jay Mathews,NaN,Nxb Đại Học Sư Phạm,Tân Việt,8935210306265,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,364
28,Có Một Nỗi Buồn Vừa Ngang Qua Đây,NaN,NaN,Nxb văn học,AZ Việt Nam,8935325008870,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,192
29,Mài Giũa Kỹ Năng - Vượt Trội Điểm Số,Stella Cottrell,NaN,Nxb Thế giới,AZ Việt Nam,8935325007613,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,194
0,Dám Dũng Cảm - 13 Nguyên Tắc Sống Can Đảm Mỗi Ngày,Franziska Iseli,NaN,Nxb Thế giới,AZ Việt Nam,8935325008009,NaN,520.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,304
1,Đường Trần - Ngọn Lửa Không Bao Giờ Tắt (Tái Bản 2022),Trần Tố Nga,NaN,Nxb Trẻ,NXB Trẻ,8934974182641,NaN,700.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,448
2,Câu Chuyện Nơ Hồng,Nhiều tác giả,NaN,NXB Công Thương,Thái Hà,8935280912502,NaN,450.00 gam,Tiếng Việt,Bìa mềm,21 x 21 cm,2022,136
3,Cáo Đạp Xe - Fox And The Bike Ride (Song Ngữ Dành Cho Lứa Tuổi 2-7),Corey R Tabor,Hà Trang,NXB Thanh Niên,SAN HÔ,8935333710062,-QĐ/NXB ThN,300.00 gam,Tiếng Việt,Bìa mềm,23.5 x 15.5 cm,2022,300
4,Nàng Mèo Của Monnet - Song Ngữ Anh - Việt,"Lily Murray , Becky Cameron",NaN,NXB Thanh Niên,SAN HÔ,8935333710185,-QĐ/NXB ThN,350.00 gam,Tiếng Việt,Bìa mềm,24 x 21 cm,2022,40
5,Chiếc Sofa Hoàn Hảo - The Perfect Sofa,Lily Murray,NaN,NXB Thanh Niên,SAN HÔ,9786043543674,-QĐ/NXB ThN,350.00 gam,Tiếng Việt,Bìa mềm,18.5 x 24 cm,2022,124
6,Willow Nhút Nhát,Charlotte Mei,NaN,NXB Thanh Niên,SAN HÔ,8935333710123,-QĐ/NXB ThN,550.00 gam,Tiếng Việt,Bìa cứng,20.5 x 26 cm,2022,NaN
7,Những Sai Lầm Đắt Giá Trong Marketing (Tái Bản),Jack Trout,NaN,NXB Công Thương,Alpha books,8935251419597,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,364
8,HBR On - Chiến Lược Số Trong Kỷ Nguyên Kết Nối,Harvard Business Review,NaN,Nxb Thông tin & truyền thông,Alpha books,8935251419535,NaN,450.00 gam,Tiếng Việt,Bìa mềm,26.5 x 20.5 cm,2022,160
9,Câu Chuyện Thần Kỳ Của Samsung: Từ Kẻ Theo Đuôi Thành Người Dẫn Dắt - Samsung Rising,Geoffrey Cain,NaN,Nxb Trẻ,NXB Trẻ,8934974179139,NaN,700.00 gam,Tiếng Việt,Bìa mềm,23 x 15.5 cm,2022,468
10,Tìm Hiểu Văn Học Hiện Đại Hàn Quốc,Kwon Young Min,NaN,Hội nhà văn,Nhã Nam,8935235235472,NaN,614.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,414
11,Phương Pháp Jakarta - Lịch Sử Các Hoạt Động Bí Mật Của CIA Thời Chiến Tranh Lạnh Ở Đông Nam Á Và Mỹ Latin,Vincent Bevins,NaN,Nxb Thế giới,Nhã Nam,8935235236028,NaN,850.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,408
12,7 Thói Quen Để Trẻ Hạnh Phúc (Song Ngữ) (Tái Bản 2022),Sean Covey,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855621,NaN,580.00 gam,Tiếng Việt,Bìa mềm,26 x 19 x 0.7 cm,2022,112
13,Tự Học Viết Tiếng Nhật Căn Bản Hiragana,Jim Gleeson,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855482,NaN,450.00 gam,Tiếng Việt,Bìa mềm,16 x 24 cm,2022,88
14,Khám Phá Tâm Lý Học Giao Tiếp,Ian Tuhovsky,Nguyễn Tư Thắng,NXB Hồng Đức,Văn Lang,8935074129734,-QĐ/HĐ,300.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,2022,272
15,Tâm Tình Với Đất Mẹ (Tái Bản 2022),Thích Nhất Hạnh,NaN,NXB Dân Trí,Saigon Books,8935278607625,-QĐ/DT,200.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,156
16,Điều Gì Đang Cản Lối Bạn ?,Robert Kelsey,Thế Anh,Nxb Thanh Hóa,Văn Lang,8935074129550,-QĐ/TH,360.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,2022,344
17,Nghệ Sĩ Định Nghĩa Chính Mình,James cahill,NaN,NXB Hồng Đức,Văn Lang,8935074129703,-QĐ/HĐ,260.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,168
18,Dạy Con Về Tiền Bạc (Tái Bản),Ernest Tan,Nguyễn Tư Thắng,Nxb Thanh Hóa,Văn Lang,8935074129499,-QĐ/TH,250.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,2022,232
19,Con Mình Chẳng Lẽ Lại Vứt,"DR Cherry Vũ, David Nguyễn, Rob England",NaN,Nxb Thế giới,Alpha books,8935309502202,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 0.5 cm,2022,328
20,Dạy Con Bằng Kể Chuyện - Đây Chính Là Tớ,Đồng Niên,Đồng Niên,NXB Hồng Đức,Văn Lang,8935074130297,-QĐ/HĐ,140.00 gam,Tiếng Việt,Bìa mềm,21 x 17 cm,2022,56
21,Những Nhà Tư Tưởng Lớn - Adorno Trong 60 Phút,Walther Ziegler,NaN,NXB Hồng Đức,Văn Lang,8935074129581,-QĐ/HĐ,200.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,135
22,Điều Kỳ Diệu Của Vận Động,BS Nguyễn Tất Ứng,NaN,Nxb Lao động,Thái Hà,8935280910232,NaN,340.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 x 0.5 cm,2022,160
23,Tạp Chí Pi: Tập 6 - Số 7-8 (Tháng 08.2022),Nhiều tác giả,NaN,NaN,Tạp chí Pi,8938514372608,484/GP-BTTTT ngày 25/10/2016,400.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm,08/2022,62
24,Tạp Chí Pi: Tập 6 - Số 6 (Tháng 06.2022),NaN,NaN,NaN,Tạp chí Pi,8938514372592,484/GP-BTTTT ngày 25/10/2016,400.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm,06/2022,62
25,Để Số Đo Không Là Nỗi Lo - Tại Sao Ăn Ít Mà Vẫn Mập?,Đông Đồng,NaN,Nxb Thế giới,Skybooks,8935325008139,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,256
26,Hạ Đỏ (Tái Bản 2022),Nguyễn Nhật Ánh,NaN,Nxb Trẻ,NXB Trẻ,8934974177951,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20 x 12 x 0.5 cm,2022,184
27,Hành Trình Nhân Loại Nguồn Gốc Của Thịnh Vượng Và Bất Bình Đẳng,Oded Galor,NaN,NXB Dân Trí,Alpha books,8935270703622,NaN,500.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,300
28,Dinh dưỡng xanh,Vitoria Boutenko,Đoàn Trang,NXB Công Thương,Thái Hà,8935280909366,-QĐ/CT,300.00 gam,Tiếng Việt,Bìa mềm,14 x 20.5 cm,2022,271
29,"Tiền - Hiểu Rõ Hơn, Kiếm Tốt Hơn Và Cho Đi Nhiều Hơn",Rob Moore,NaN,Nxb Thế giới,Nhã Nam,8935235235182,NaN,900.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,456
0,Tâm từ,Ajahn Brahm,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856338,NaN,320.00 gam,Tiếng Việt,Bìa mềm,16.5 x 11.5 x 1 cm,2022,162
1,Ai Cũng Được Vui - Bộ Kỹ Năng Cho Trẻ Từ 1- 6 Tuổi,Hồ Huy Sơn,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856215,NaN,450.00 gam,Tiếng Việt,Bìa mềm,17.5 x 17.5 cm,2022,24
2,Chinh Phục Mục Tiêu (Tái Bản 2022),Brian Tracy,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856253,NaN,550.00 gam,Tiếng Việt,Bìa mềm,13 x 20.5 cm,2022,328
3,Dám Nghĩ Lớn (Khổ Nhỏ) - Tái Bản 2022,"David J Schwartz, PhD",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856123,NaN,650.00 gam,Tiếng Việt,Bìa mềm,15 x 10 cm,2022,448
4,Lời Nguyện Cầu Hạnh Phúc - The Happiness Prayer,Evan Moffic,Thiên Kim,NXB Hồng Đức,Văn Lang,8935074128294,-QĐ/HĐ,300.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 0.7 cm,2022,320
5,Thanh Xuân Của Tôi Làm Sao Đây?,Lưu Dĩnh,Ngân Nguyễn,Nxb Thanh Hóa,Văn Lang,8935074128447,-QĐ/TH,260.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 0.6 cm,2022,280
6,Tại Sao Càng Bận Càng Nghèo Càng Nhàn Càng Giàu,Trương Tịnh Vũ,NaN,Nxb Thanh Hóa,Văn Lang,8935074128645,-QĐ/TH,100.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 0.3 cm,2022,60
7,Bạn Đang Nghịch Gì Với Đời Mình? (Tái bản),J Krishnamurti,NaN,NXB Hồng Đức,Trí Việt,8935086856000,NaN,520.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,304
8,Tự Học Viết Tiếng Nhật (Tập 1) - 200 Chữ Kanji Căn Bản,Eriko Sato,NaN,Nxb Đại học Quốc gia TPHCM,Trí Việt,8935086855928,NaN,510.00 gam,Tiếng Việt,Bìa mềm,28.5 x 20.5 x 0.7 cm,2022,131
9,Điệp Viên Hoàn Hảo X6 - Bìa Cứng,Larry Berman,NaN,NXB Hồng Đức,Trí Việt,8935086855720,NaN,960.00 gam,Tiếng Việt,Bìa cứng,24 x 16 cm,2022,390
10,Nói Nhiều Không Bằng Nói Đúng - 36 Bí Quyết Để Chiếm Được Cảm Tình Của Người Khác,2 1/2 Bạn Tốt,Tuệ Văn,NXB Thanh Niên,Minh Long,8936067606591,-QĐ/NT,246.00 gam,Tiếng Việt,Bìa mềm,23 x 17 x 0.7 cm,2022,125
11,Hỏi Nhỏ Biết To - Thực Vật (Tái Bản 2022),Nhiều tác giả,NaN,Nxb Mỹ thuật,Minh Long,8936067606508,-QĐ/MT,145.00 gam,Tiếng Việt,Bìa mềm,21 x 18 cm,2022,72
12,Chicken Soup For The Father’S Soul 23 - Trái Tim Người Cha,"Jack Canfield, Mark Victor Hansen",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856192,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,176
13,Move Up 2 (2022),Nhiều tác giả,NaN,NXB Giáo Dục,Phương Nam,9786040303042,-QĐ/GD,205.00 gam,Tiếng Việt,Bìa mềm,27.5 x 20.5 x 0.5 cm,2022,76
14,Năng Lượng Từ Hơi Thở,Bích Nguyễn,NaN,NXB Thanh Niên,1980Books,8936066691284,-QĐ/NXB ThN,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,260
15,Giải Mã Hành Vi Đọc Vị Cảm Xúc,Patrick King,Thanh Huyền,NXB ĐH Kinh tế Quốc dân,1980Books,8936066691277,-QĐ/NXB ĐHKTQD,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,256
16,Bạn Càng Mạnh Mẽ Thế Giới Càng Công Bằng,Patrick King,Thanh Bình,NXB Thanh Niên,1980Books,8936066690881,-QĐ/ThN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,400
17,Lắng Nghe Để Dạy Con Đúng Cách,Koso Tokiko,Kim Ngân,NXB Công Thương,1980Books,8936066690645,-QĐ/CT,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 x 1.2 cm,2021,246
18,Những Câu Hỏi Lớn Vũ Trụ (Tái Bản),"Stuart Clark, Simon Blackburn",NaN,NXB Dân Trí,Alpha books,8935309502431,NaN,500.00 gam,Tiếng Việt,NaN,20.5 x 14.5 cm,2022,348
19,Anh Em Phi Hành Gia - Tập 34,Chuya Koyama,NaN,Nxb Trẻ,NXB Trẻ,8934974181620,NaN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 x 1 cm,2022,208
20,HBR Onpoint 2021 - Đổi Mới Mô Hình Kinh Doanh (Tái Bản 2022),Harvard Business Review,NaN,NXB ĐH Kinh tế Quốc dân,Alpha books,8935251419078,NaN,600.00 gam,Tiếng Việt,Bìa mềm,26.5 x 20.5 cm,2022,156
21,HBR Onpoint 2021: Quản Lý Trong Bối Cảnh Suy Thoái (Tái Bản 2022),Harvard Business Review,NaN,NXB ĐH Kinh tế Quốc dân,Alpha books,8935251419061,NaN,600.00 gam,Tiếng Việt,Bìa mềm,26.5 x 20.5 cm,2022,128
22,The One Thing - Điều Ý Nghĩa Nhất,Jay Papasan Gary Keller,NaN,Nxb Lao động,Alpha books,8935251419191,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,260
23,Chuyên Gia Kinh Tế Bước Vào Nhà Thổ Và Những Nơi Không Ngờ Khác Để Hiểu Về Rủi Ro,Allison Schrager,NaN,NXB Dân Trí,Nhã Nam,8935235234222,-QĐ/DT,600.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,336
24,Đại Gia Gatsby (Tái Bản 2022),Francis Scott Key Fitzgerald,NaN,Nxb Thế giới,Nhã Nam,8935235234932,-QĐ/TG,550.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,260
25,"Viết Gì Cũng Chuẩn, Nói Gì Cũng Hay",Kang Weon Kug,NaN,NXB Hồng Đức,Mcbooks,8935246935460,-QĐ/HĐ,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,434
